#TYPE Selected.System.ServiceProcess.ServiceController
"Name","StartType","Status"
"BFE","Automatic","Running"
"BrokerInfrastructure","Automatic","Running"
"CDPSvc","Automatic","Running"
"CDPUserSvc_3ad38","Automatic","Running"
"CoreMessagingRegistrar","Automatic","Running"
"CryptSvc","Automatic","Running"
"DcomLaunch","Automatic","Running"
"Dhcp","Automatic","Running"
"DiagTrack","Automatic","Running"
"Dnscache","Automatic","Running"
"DoSvc","Manual","Running"
"DPS","Automatic","Running"
"DsSvc","Manual","Running"
"EventLog","Automatic","Running"
"EventSystem","Automatic","Running"
"FontCache","Automatic","Running"
"gpsvc","Automatic","Running"
"iphlpsvc","Automatic","Running"
"KeyIso","Manual","Running"
"LanmanServer","Automatic","Running"
"LanmanWorkstation","Automatic","Running"
"LicenseManager","Manual","Running"
"lmhosts","Manual","Running"
"LSM","Automatic","Running"
"mpssvc","Automatic","Running"
"MSDTC","Automatic","Running"
"NcbService","Manual","Running"
"netprofm","Manual","Running"
"NlaSvc","Automatic","Running"
"nsi","Automatic","Running"
"PcaSvc","Manual","Running"
"PlugPlay","Manual","Running"
"Power","Automatic","Running"
"ProfSvc","Automatic","Running"
"RpcEptMapper","Automatic","Running"
"RpcSs","Automatic","Running"
"SamSs","Automatic","Running"
"Schedule","Automatic","Running"
"SENS","Automatic","Running"
"ShellHWDetection","Automatic","Running"
"Spooler","Automatic","Running"
"StateRepository","Manual","Running"
"StorSvc","Manual","Running"
"SysMain","Automatic","Running"
"SystemEventsBroker","Automatic","Running"
"TabletInputService","Manual","Running"
"Themes","Automatic","Running"
"TimeBrokerSvc","Manual","Running"
"TokenBroker","Manual","Running"
"TrkWks","Automatic","Running"
"UALSVC","Automatic","Running"
"UserManager","Automatic","Running"
"UsoSvc","Automatic","Running"
"VaultSvc","Manual","Running"
"VBoxService","Automatic","Running"
"W32Time","Automatic","Running"
"Wcmsvc","Automatic","Running"
"WdiSystemHost","Manual","Running"
"WdNisSvc","Manual","Running"
"WinDefend","Automatic","Running"
"WinHttpAutoProxySvc","Manual","Running"
"Winmgmt","Automatic","Running"
"WinRM","Automatic","Running"
"WpnService","Automatic","Running"
"WpnUserService_3ad38","Automatic","Running"
"wuauserv","Manual","Running"
